season,slug
2024/2025,and-1a-divisio-2024-2025
2023/2024,and-1a-divisio-2023-2024
2022/2023,and-1a-divisio-2022-2023
2021/2022 Playoffs,and-1a-divisio-2021-2022-playoffs
2021/2022 Abstieg,and-1a-divisio-2021-2022-abstieg
2021/2022,and-1a-divisio-2021-2022
2020/2021 Playoff,and-1a-divisio-2020-2021-playoff
2020/2021 Abstieg,and-1a-divisio-2020-2021-abstieg
2020/2021,and-1a-divisio-2020-2021
2019/2020 Playoff,and-1a-divisio-2019-2020-playoff
2019/2020 Abstieg,and-1a-divisio-2019-2020-abstieg
2019/2020,and-1a-divisio-2019-2020
2018/2019 Playoff,and-1a-divisio-2018-2019-playoff
2018/2019 Abstieg,and-1a-divisio-2018-2019-abstieg
2018/2019,and-1a-divisio-2018-2019
2017/2018 Playoff,and-1a-divisio-2017-2018-playoff
2017/2018 Abstieg,and-1a-divisio-2017-2018-abstieg
2017/2018,and-1a-divisio-2017-2018
2017 Playoff,and-1a-divisio-2017-playoff
2017 Abstieg,and-1a-divisio-2017-abstieg
2016/2017,and-1a-divisio-2016-2017
2016 Playoff,and-1a-divisio-2016-playoff
2016 Abstieg,and-1a-divisio-2016-abstieg
2015/2016,and-1a-divisio-2015-2016
2015 Playoff,and-1a-divisio-2015-playoff
2015 Abstieg,and-1a-divisio-2015-abstieg
2014/2015,and-1a-divisio-2014-2015
2014 Playoff,and-1a-divisio-2014-playoff
2014 Abstieg,and-1a-divisio-2014-abstieg
2013/2014,and-1a-divisio-2013-2014
2013 Playoff,and-1a-divisio-2013-playoff
2013 Abstieg,and-1a-divisio-2013-abstieg
2012/2013,and-1a-divisio-2012-2013
2012 Playoff,and-1a-divisio-2012-playoff
2012 Abstieg,and-1a-divisio-2012-abstieg
2011/2012,and-1a-divisio-2011-2012
2011 Playoff,and-1a-divisio-2011-playoff
2011 Abstieg,and-1a-divisio-2011-abstieg
2010/2011,and-1a-divisio-2010-2011
2010 Playoff,and-1a-divisio-2010-playoff
2010 Abstieg,and-1a-divisio-2010-abstieg
2009/2010,and-1a-divisio-2009-2010
2009 Playoff,and-1a-divisio-2009-playoff
2009 Abstieg,and-1a-divisio-2009-abstieg
2008/2009,and-1a-divisio-2008-2009
2008 Playoff,and-1a-divisio-2008-playoff
2008 Abstieg,and-1a-divisio-2008-abstieg
2007/2008,and-1a-divisio-2007-2008
2007 Playoff,and-1a-divisio-2007-playoff
2007 Abstieg,and-1a-divisio-2007-abstieg
2006/2007,and-1a-divisio-2006-2007
2006 Playoff,and-1a-divisio-2006-playoff
2006 Abstieg,and-1a-divisio-2006-abstieg
2005/2006,and-1a-divisio-2005-2006
2005 Playoff,and-1a-divisio-2005-playoff
2005 Abstieg,and-1a-divisio-2005-abstieg
2004/2005,and-1a-divisio-2004-2005
2004 Playoff,and-1a-divisio-2004-playoff
2004 Abstieg,and-1a-divisio-2004-abstieg
2003/2004,and-1a-divisio-2003-2004
