season,slug
2024 Clausura,arg-primera-b-metropolitana-2024-clausura
2024 Apertura,arg-primera-b-metropolitana-2024-apertura
2023 Playoffs,arg-primera-b-metropolitana-2023-playoffs
2023 Gran Final,arg-primera-b-metropolitana-2023-gran-final
2023 Clausura,arg-primera-b-metropolitana-2023-clausura
2023 Apertura,arg-primera-b-metropolitana-2023-apertura
2022 Playoffs,arg-primera-b-metropolitana-2022-playoffs
2022 Clausura,arg-primera-b-metropolitana-2022-clausura
2022 Apertura,arg-primera-b-metropolitana-2022-apertura
2021 Torneo Complemento,arg-primera-b-metropolitana-2021-torneo-complemento
2021 Playoffs,arg-primera-b-metropolitana-2021-playoffs
2021 Final,arg-primera-b-metropolitana-2021-final
2021 Clausura,arg-primera-b-metropolitana-2021-clausura
2021 Apertura,arg-primera-b-metropolitana-2021-apertura
2019/2020 Finalización,arg-primera-b-metropolitana-2019-2020-finalizacion
2019/2020 Clausura,arg-primera-b-metropolitana-2019-2020-clausura
2019/2020 Apertura,arg-primera-b-metropolitana-2019-2020-apertura
2018/2019 Playoffs,arg-primera-b-metropolitana-2018-2019-playoffs
2018/2019,arg-primera-b-metropolitana-2018-2019
