season,slug
2024/2025,aze-premyer-liqasi-2024-2025
2023/2024,aze-premyer-liqasi-2023-2024
2022/2023,aze-premyer-liqasi-2022-2023
2021/2022,aze-premyer-liqasi-2021-2022
2020/2021,aze-premyer-liqasi-2020-2021
2019/2020,aze-premyer-liqasi-2019-2020
2018/2019,aze-premyer-liqasi-2018-2019
2017/2018,aze-premyer-liqasi-2017-2018
2016/2017,aze-premyer-liqasi-2016-2017
2015/2016,aze-premyer-liqa-2015-2016
2014/2015,aze-premyer-liqa-2014-2015
2013/2014,aze-premyer-liqa-2013-2014
2013 Meisterschaft,aze-premyer-liqa-2013-meisterschaft
2013 Abstieg,aze-premyer-liqa-2013-abstieg
2012/2013,aze-premyer-liqa-2012-2013
2012 Meisterschaft,aze-premyer-liqa-2012-meisterschaft
2012 Abstieg,aze-premyer-liqa-2012-abstieg
2011/2012,aze-premyer-liqa-2011-2012
2011 Meisterschaft,aze-premyer-liqa-2011-meisterschaft
2011 Abstieg,aze-premyer-liqa-2011-abstieg
2010/2011,aze-yuksak-liqa-2010-2011
2010 Meisterschaft,aze-yuksak-liqa-2010-meisterschaft
2010 Abstieg,aze-yuksak-liqa-2010-abstieg
2009/2010,aze-yuksak-liqa-2009-2010
2008/2009,aze-yuksak-liqa-2008-2009
2007/2008,aze-yuksak-liqa-2007-2008
2006/2007,aze-yuksak-liqa-2006-2007
2005/2006,aze-yuksak-liqa-2005-2006
2005 Playoff,aze-yuksak-liqa-2005-playoff
2004/2005,aze-yuksak-liqa-2004-2005
2003/2004,aze-yuksak-liqa-2003-2004
