season,slug
2024/2025,bul-parva-liga-2024-2025
2023/2024 Relegation,bul-parva-liga-2023-2024-relegation
2023/2024 ECL Playoff,bul-parva-liga-2023-2024-ecl-playoff
2023/2024 Conference League,bul-parva-liga-2023-2024-conference-league
2023/2024 Championship,bul-parva-liga-2023-2024-championship
2023/2024,bul-parva-liga-2023-2024
2022/2023 Relegation,bul-parva-liga-2022-2023-relegation
2022/2023 ECL Playoff,bul-parva-liga-2022-2023-ecl-playoff
2022/2023 Conference League,bul-parva-liga-2022-2023-conference-league
2022/2023 Championship,bul-parva-liga-2022-2023-championship
2022/2023,bul-parva-liga-2022-2023
2021/2022 Meisterschaft,bul-parva-liga-2021-2022-meisterschaft
2021/2022 ECL Playoff,bul-parva-liga-2021-2022-ecl-playoff
2021/2022 Conference League,bul-parva-liga-2021-2022-conference-league
2021/2022 Abstieg,bul-parva-liga-2021-2022-abstieg
2021/2022,bul-parva-liga-2021-2022
2020/2021 Meisterschaft,bul-parva-liga-2020-2021-meisterschaft
2020/2021 EL-Playoffs,bul-parva-liga-2020-2021-el-playoffs
2020/2021 Conf. L. Playoff,bul-parva-liga-2020-2021-conf-l-playoff
2020/2021 Abstieg,bul-parva-liga-2020-2021-abstieg
2020/2021,bul-parva-liga-2020-2021
2019/2020 Meisterschaft,bul-parva-liga-2019-2020-meisterschaft
2019/2020 EL-Playoffs,bul-parva-liga-2019-2020-el-playoffs
2019/2020 Abstieg,bul-parva-liga-2019-2020-abstieg
2019/2020,bul-parva-liga-2019-2020
2018/2019 Meisterschaft,bul-parva-liga-2018-2019-meisterschaft
2018/2019 EL-Playoffs,bul-parva-liga-2018-2019-el-playoffs
2018/2019 Abstieg,bul-parva-liga-2018-2019-abstieg
2018/2019,bul-a-grupa-2018-2019
2017/2018 Meisterschaft,bul-a-grupa-2017-2018-meisterschaft
2017/2018 EL-Playoffs,bul-a-grupa-2017-2018-el-playoffs
2017/2018 Abstieg,bul-a-grupa-2017-2018-abstieg
2017/2018,bul-a-grupa-2017-2018
2016/2017 Meisterschaft,bul-a-grupa-2016-2017-meisterschaft
2016/2017 EL-Playoffs,bul-a-grupa-2016-2017-el-playoffs
2016/2017 Abstieg,bul-a-grupa-2016-2017-abstieg
2016/2017,bul-a-grupa-2016-2017
2015/2016,bul-a-grupa-2015-2016
2015 Meisterrunde,bul-a-grupa-2015-meisterrunde
2015 Abstiegsrunde,bul-a-grupa-2015-abstiegsrunde_2
2014/2015,bul-a-grupa-2014-2015
2014 Meisterrunde,bul-a-grupa-2014-meisterrunde
2014 Abstiegsrunde,bul-a-grupa-2014-abstiegsrunde
2013/2014,bul-a-grupa-2013-2014
2012/2013,bul-a-grupa-2012-2013
2011/2012,bul-a-grupa-2011-2012
2010/2011,bul-a-grupa-2010-2011
2009/2010,bul-a-grupa-2009-2010
2008/2009,bul-vissa-liga-2008-2009
2007/2008,bul-vissa-liga-2007-2008
2006/2007,bul-vissa-liga-2006-2007
2005/2006,bul-vissa-liga-2005-2006
2004/2005,bul-vissa-liga-2004-2005
2003/2004,bul-vissa-liga-2003-2004
2002/2003,bul-a-grupa-2002-2003
2001/2002 Relegation,bul-a-grupa-2001-2002-relegation
2001/2002 Championship,bul-a-grupa-2001-2002-championship
2001/2002,bul-a-grupa-2001-2002
2000/2001,bul-a-grupa-2000-2001
1999/2000,bul-a-grupa-1999-2000
1998/1999,bul-a-grupa-1998-1999
1997/1998,bul-a-grupa-1997-1998
1996/1997,bul-a-grupa-1996-1997
1995/1996,bul-a-grupa-1995-1996
1994/1995,bul-a-grupa-1994-1995
1993/1994,bul-a-grupa-1993-1994
1992/1993,bul-a-grupa-1992-1993
1991/1992,bul-a-grupa-1991-1992
1990/1991,bul-a-grupa-1990-1991
1989/1990,bul-a-grupa-1989-1990
1988/1989,bul-a-grupa-1988-1989
1987/1988,bul-a-grupa-1987-1988
1986/1987,bul-a-grupa-1986-1987
1985/1986,bul-a-grupa-1985-1986
1984/1985,bul-a-grupa-1984-1985
1983/1984,bul-a-grupa-1983-1984
1982/1983,bul-a-grupa-1982-1983
1981/1982,bul-a-grupa-1981-1982
1980/1981,bul-a-grupa-1980-1981
1979/1980,bul-a-grupa-1979-1980
1978/1979,bul-a-grupa-1978-1979
