season,slug
2024,blr-cempionat-2024
2023,blr-cempionat-2023
2022,blr-cempionat-2022
2021,blr-cempionat-2021
2020,blr-cempionat-2020
2019,blr-cempionat-2019
2018,blr-cempionat-2018
2017,blr-cempionat-2017
2016,blr-cempionat-2016
2015,blr-cempionat-2015
2014 Meisterschaft,blr-cempionat-2014-meisterschaft
2014 Abstieg,blr-cempionat-2014-abstieg
2014,blr-cempionat-2014
2013 Meisterschaft,blr-cempionat-2013-meisterschaft
2013 Abstieg,blr-cempionat-2013-abstieg
2013,blr-cempionat-2013
2012,blr-cempionat-2012
2011,blr-cempionat-2011
2010,blr-cempionat-2010
2009,blr-cempionat-2009
2008,blr-cempionat-2008
2007,blr-cempionat-2007
2006,blr-cempionat-2006
2005,blr-cempionat-2005
2004 Playoff,blr-cempionat-2004-playoff
2004,blr-cempionat-2004
2003,blr-cempionat-2003
2002,blr-cempionat-2002_2
2001,blr-cempionat-2001
2000,blr-cempionat-2000
1999,blr-cempionat-1999
1998,blr-cempionat-1998
1997,blr-cempionat-1997
1996,blr-cempionat-1996
1995,blr-cempionat-1995
1994/1995,blr-cempionat-1994-1995
1993/1994,blr-cempionat-1993-1994
1992/1993,blr-cempionat-1992-1993
1992,blr-cempionat-1992
