season,slug
2024 Clausura,col-primera-b-2024-clausura
2024 Apertura Playoffs,col-primera-b-2024-apertura-playoffs
2024 Apertura,col-primera-b-2024-apertura
2023 Gran Final,col-primera-b-2023-gran-final
2023 Clausura Playoffs,col-primera-b-2023-clausura-playoffs
2023 Clausura,col-primera-b-2023-clausura
2023 Apertura Playoffs,col-primera-b-2023-apertura-playoffs
2023 Apertura,col-primera-b-2023-apertura
2022 Repechaje,col-primera-b-2022-repechaje
2022 Gran Final,col-primera-b-2022-gran-final
2022 Clausura Playoffs,col-primera-b-2022-clausura-playoffs
2022 Clausura,col-primera-b-2022-clausura
2022 Apertura Playoffs,col-primera-b-2022-apertura-playoffs
2022 Apertura,col-primera-b-2022-apertura
2021 Promoción,col-primera-b-2021-promocion
2021 Clausura Playoffs,col-primera-b-2021-clausura-playoffs
2021 Clausura,col-primera-b-2021-clausura
2021 Apertura Playoffs,col-primera-b-2021-apertura-playoffs
2021 Apertura,col-primera-b-2021-apertura
2020 Playoffs,col-primera-b-2020-playoffs
2020,col-primera-b-2020
2019 Repechaje,col-primera-b-2019-repechaje
2019 Clausura Playoffs,col-primera-b-2019-clausura-playoffs
2019 Clausura,col-primera-b-2019-clausura
2019 Apertura Playoffs,col-primera-b-2019-apertura-playoffs
2019 Apertura,col-primera-b-2019-apertura
