season,slug
2024/2025,cyp-first-division-2024-2025
2023/2024 Relegation,cyp-first-division-2023-2024-relegation
2023/2024 Championship,cyp-first-division-2023-2024-championship
2023/2024,cyp-first-division-2023-2024
2022/2023 Relegation,cyp-first-division-2022-2023-relegation
2022/2023 Championship,cyp-first-division-2022-2023-championship
2022/2023,cyp-first-division-2022-2023
2021/2022 Meisterschaft,cyp-first-division-2021-2022-meisterschaft
2021/2022 Abstieg,cyp-first-division-2021-2022-abstieg
2021/2022,cyp-first-division-2021-2022
2020/2021 Meisterschaft,cyp-first-division-2020-2021-meisterschaft
2020/2021 Abstieg,cyp-first-division-2020-2021-abstieg
2020/2021,cyp-first-division-2020-2021
2020 Meisterschaft,cyp-first-division-2020-meisterschaft
2020 Abstieg,cyp-first-division-2020-abstieg
2019/2020,cyp-first-division-2019-2020
2019 Meisterschaft,cyp-first-division-2019-meisterschaft
2019 Abstieg,cyp-first-division-2019-abstieg
2018/2019,cyp-first-division-2018-2019
2018 Meisterschaft,cyp-first-division-2018-meisterschaft
2018 Abstieg,cyp-first-division-2018-abstieg
2017/2018,cyp-first-division-2017-2018
2017 Meisterschaft,cyp-first-division-2017-meisterschaft
2017 Abstieg,cyp-first-division-2017-abstieg
2016/2017,cyp-first-division-2016-2017
2016 Meisterschaft,cyp-first-division-2016-meisterschaft
2016 Abstieg,cyp-first-division-2016-abstieg
2015/2016,cyp-first-division-2015-2016
2015 Meisterschaft,cyp-first-division-2015-meisterschaft
2015 Abstieg,cyp-first-division-2015-abstieg
2014/2015,cyp-first-division-2014-2015
2014 Meisterschaft,cyp-first-division-2014-meisterschaft
2014 Abstieg,cyp-first-division-2014-abstieg_2
2013/2014,cyp-first-division-2013-2014
2013 Platzierung,cyp-first-division-2013-platzierung
2013 Meisterschaft,cyp-first-division-2013-meisterschaft
2013 Abstieg,cyp-first-division-2013-abstieg
2012/2013,cyp-first-division-2012-2013
2012 Platzierung,cyp-first-division-2012-platzierung
2012 Meisterschaft,cyp-first-division-2012-meisterschaft
2012 Abstieg,cyp-first-division-2012-abstieg
2011/2012,cyp-first-division-2011-2012
2011 Platzierung,cyp-first-division-2011-platzierung
2011 Meisterschaft,cyp-first-division-2011-meisterschaft
2011 Abstieg,cyp-first-division-2011-abstieg
2010/2011,cyp-first-division-2010-2011
2010 Platzierung,cyp-first-division-2010-platzierung
2010 Meisterschaft,cyp-first-division-2010-meisterschaft
2010 Abstieg,cyp-first-division-2010-abstieg
2009/2010,cyp-first-division-2009-2010
2009 Platzierung,cyp-first-division-2009-platzierung
2009 Meisterschaft,cyp-first-division-2009-meisterschaft
2009 Abstieg,cyp-first-division-2009-abstieg
2008/2009,cyp-first-division-2008-2009
2008 Platzierung,cyp-first-division-2008-platzierung
2008 Meisterschaft,cyp-first-division-2008-meisterschaft
2008 Abstieg,cyp-first-division-2008-abstieg
2007/2008,cyp-first-division-2007-2008
2006/2007,cyp-first-division-2006-2007
2005/2006,cyp-first-division-2005-2006
2004/2005,cyp-first-division-2004-2005
2003/2004,cyp-first-division-2003-2004
