season,slug
2024/2025,2-bundesliga-2024-2025
2023/2024,2-bundesliga-2023-2024
2022/2023,2-bundesliga-2022-2023
2021/2022,2-bundesliga-2021-2022
2020/2021,2-bundesliga-2020-2021
2019/2020,2-bundesliga-2019-2020
2018/2019,2-bundesliga-2018-2019
2017/2018,2-bundesliga-2017-2018
2016/2017,2-bundesliga-2016-2017
2015/2016,2-bundesliga-2015-2016
2014/2015,2-bundesliga-2014-2015
2013/2014,2-bundesliga-2013-2014
2012/2013,2-bundesliga-2012-2013
2011/2012,2-bundesliga-2011-2012
2010/2011,2-bundesliga-2010-2011_2
2009/2010,2-bundesliga-2009-2010
2008/2009,2-bundesliga-2008-2009
2007/2008,2-bundesliga-2007-2008
2006/2007,2-bundesliga-2006-2007
2005/2006,2-bundesliga-2005-2006
2004/2005,2-bundesliga-2004-2005
2003/2004,2-bundesliga-2003-2004
2002/2003,2-bundesliga-2002-2003
2001/2002,2-bundesliga-2001-2002
2000/2001,2-bundesliga-2000-2001
1999/2000,2-bundesliga-1999-2000
1998/1999,2-bundesliga-1998-1999
1997/1998,2-bundesliga-1997-1998
1996/1997,2-bundesliga-1996-1997
1995/1996,2-bundesliga-1995-1996
1994/1995,2-bundesliga-1994-1995
1993/1994,2-bundesliga-1993-1994
1992/1993,2-bundesliga-1992-1993
1991/1992 Süd Aufstieg,2-bundesliga-1991-1992-sued-aufstieg
1991/1992 Süd Abstieg,2-bundesliga-1991-1992-sued-abstieg
1991/1992 Süd,2-bundesliga-1991-1992-sued
1991/1992 Nord Aufstieg,2-bundesliga-1991-1992-nord-aufstieg
1991/1992 Nord Abstieg,2-bundesliga-1991-1992-nord-abstieg
1991/1992 Nord,2-bundesliga-1991-1992-nord
1990/1991,2-bundesliga-1990-1991
1989/1990,2-bundesliga-1989-1990
1988/1989,2-bundesliga-1988-1989
1987/1988,2-bundesliga-1987-1988
1986/1987,2-bundesliga-1986-1987
1985/1986,2-bundesliga-1985-1986
1984/1985,2-bundesliga-1984-1985
1983/1984,2-bundesliga-1983-1984
1982/1983,2-bundesliga-1982-1983
1981/1982,2-bundesliga-1981-1982
1980/1981 Süd,2-bundesliga-1980-1981-sued
1980/1981 Nord,2-bundesliga-1980-1981-nord
1979/1980 Süd,2-bundesliga-1979-1980-sued
1979/1980 Nord,2-bundesliga-1979-1980-nord
1978/1979 Süd,2-bundesliga-1978-1979-sued
1978/1979 Nord,2-bundesliga-1978-1979-nord
1977/1978 Süd,2-bundesliga-1977-1978-sued
1977/1978 Nord,2-bundesliga-1977-1978-nord
1976/1977 Süd,2-bundesliga-1976-1977-sued
1976/1977 Nord,2-bundesliga-1976-1977-nord
1975/1976 Süd,2-bundesliga-1975-1976-sued
1975/1976 Nord,2-bundesliga-1975-1976-nord
1974/1975 Süd,2-bundesliga-1974-1975-sued
1974/1975 Nord,2-bundesliga-1974-1975-nord
