season,slug
2024/2025,regionalliga-west-2024-2025
2023/2024,regionalliga-west-2023-2024
2022/2023,regionalliga-west-2022-2023
2021/2022,regionalliga-west-2021-2022
2020/2021,regionalliga-west-2020-2021
2019/2020,regionalliga-west-2019-2020
2018/2019,regionalliga-west-2018-2019
2017/2018,regionalliga-west-2017-2018
2016/2017,regionalliga-west-2016-2017
2015/2016,regionalliga-west-2015-2016
2014/2015,regionalliga-west-2014-2015
2013/2014,regionalliga-west-2013-2014
2012/2013,regionalliga-west-2012-2013_2
2011/2012,regionalliga-west-2011-2012
2010/2011,regionalliga-west-2010-2011
2009/2010,regionalliga-west-2009-2010
2008/2009,regionalliga-west-2008-2009
