season,slug
2024/2025,eng-league-one-2024-2025
2023/2024,eng-league-one-2023-2024
2022/2023,eng-league-one-2022-2023
2021/2022,eng-league-one-2021-2022
2020/2021,eng-league-one-2020-2021
2019/2020,eng-league-one-2019-2020
2018/2019,eng-league-one-2018-2019
2017/2018,eng-league-one-2017-2018
2016/2017,eng-league-one-2016-2017
2015/2016,eng-league-one-2015-2016
2014/2015,eng-league-one-2014-2015
2013/2014,eng-league-one-2013-2014
2012/2013,eng-league-one-2012-2013
2011/2012,eng-league-one-2011-2012
2010/2011,eng-league-one-2010-2011
2009/2010,eng-league-one-2009-2010
2008/2009,eng-league-one-2008-2009
2007/2008,eng-league-one-2007-2008
2006/2007,eng-league-one-2006-2007
2005/2006,eng-league-one-2005-2006
2004/2005,eng-league-one-2004-2005
2003/2004,eng-league-one-2003-2004
2002/2003,eng-league-one-2002-2003
2001/2002,eng-league-one-2001-2002
2000/2001,eng-league-one-2000-2001
1999/2000,eng-league-one-1999-2000
