season,slug
2024/2025,fra-ligue-1-2024-2025
2023/2024,fra-ligue-1-2023-2024
2022/2023,fra-ligue-1-2022-2023
2021/2022,fra-ligue-1-2021-2022
2020/2021,fra-ligue-1-2020-2021
2019/2020,fra-ligue-1-2019-2020
2018/2019,fra-ligue-1-2018-2019
2017/2018,fra-ligue-1-2017-2018
2016/2017,fra-ligue-1-2016-2017
2015/2016,fra-ligue-1-2015-2016
2014/2015,fra-ligue-1-2014-2015
2013/2014,fra-ligue-1-2013-2014
2012/2013,fra-ligue-1-2012-2013
2011/2012,fra-ligue-1-2011-2012
2010/2011,fra-ligue-1-2010-2011
2009/2010,fra-ligue-1-2009-2010
2008/2009,fra-ligue-1-2008-2009
2007/2008,fra-ligue-1-2007-2008
2006/2007,fra-ligue-1-2006-2007
2005/2006,fra-ligue-1-2005-2006
2004/2005,fra-ligue-1-2004-2005
2003/2004,fra-ligue-1-2003-2004
2002/2003,fra-ligue-1-2002-2003
2001/2002,fra-ligue-1-2001-2002
2000/2001,fra-ligue-1-2000-2001
1999/2000,fra-ligue-1-1999-2000
1998/1999,fra-ligue-1-1998-1999
1997/1998,fra-ligue-1-1997-1998
1996/1997,fra-ligue-1-1996-1997
1995/1996,fra-ligue-1-1995-1996
1994/1995,fra-ligue-1-1994-1995
1993/1994,fra-ligue-1-1993-1994
1992/1993,fra-ligue-1-1992-1993
1991/1992,fra-ligue-1-1991-1992
1990/1991,fra-ligue-1-1990-1991
1989/1990,fra-ligue-1-1989-1990
1988/1989,fra-ligue-1-1988-1989
1987/1988,fra-ligue-1-1987-1988
1986/1987,fra-ligue-1-1986-1987
1985/1986,fra-ligue-1-1985-1986
1984/1985,fra-ligue-1-1984-1985
1983/1984,fra-ligue-1-1983-1984
1982/1983,fra-ligue-1-1982-1983
1981/1982,fra-ligue-1-1981-1982
1980/1981,fra-ligue-1-1980-1981
1979/1980,fra-ligue-1-1979-1980
1978/1979,fra-ligue-1-1978-1979
1977/1978,fra-ligue-1-1977-1978
1976/1977,fra-ligue-1-1976-1977
1975/1976,fra-ligue-1-1975-1976
1974/1975,fra-ligue-1-1974-1975
1973/1974,fra-ligue-1-1973-1974
1972/1973,fra-ligue-1-1972-1973
1971/1972,fra-ligue-1-1971-1972
1970/1971,fra-ligue-1-1970-1971
1969/1970,fra-ligue-1-1969-1970
1968/1969,fra-ligue-1-1968-1969
1967/1968,fra-ligue-1-1967-1968
1966/1967,fra-ligue-1-1966-1967
1965/1966,fra-ligue-1-1965-1966
1964/1965,fra-ligue-1-1964-1965
1963/1964,fra-ligue-1-1963-1964
1962/1963,fra-ligue-1-1962-1963
1961/1962,fra-ligue-1-1961-1962
1960/1961,fra-ligue-1-1960-1961
1959/1960,fra-ligue-1-1959-1960
1958/1959,fra-ligue-1-1958-1959
1957/1958,fra-ligue-1-1957-1958
1956/1957,fra-ligue-1-1956-1957
1955/1956,fra-ligue-1-1955-1956
1954/1955,fra-ligue-1-1954-1955
1953/1954,fra-ligue-1-1953-1954
1952/1953,fra-ligue-1-1952-1953
1951/1952,fra-ligue-1-1951-1952
1950/1951,fra-ligue-1-1950-1951
1949/1950,fra-ligue-1-1949-1950
1948/1949,fra-ligue-1-1948-1949
1947/1948,fra-ligue-1-1947-1948
1946/1947,fra-ligue-1-1946-1947
1945/1946,fra-ligue-1-1945-1946
1938/1939,fra-ligue-1-1938-1939
1937/1938,fra-ligue-1-1937-1938
1936/1937,fra-ligue-1-1936-1937
1935/1936,fra-ligue-1-1935-1936
1934/1935,fra-ligue-1-1934-1935
1933/1934,fra-ligue-1-1933-1934
1933 Finale,fra-ligue-1-1933-finale
1932/1933,fra-ligue-1-1932-1933
