season,slug
2023/2024,fra-coupe-de-france-2023-2024
2022/2023,fra-coupe-de-france-2022-2023
2021/2022,fra-coupe-de-france-2021-2022
2020/2021,fra-coupe-de-france-2020-2021
2019/2020,fra-coupe-de-france-2019-2020
2018/2019,fra-coupe-de-france-2018-2019
2017/2018,fra-coupe-de-france-2017-2018
2016/2017,fra-coupe-de-france-2016-2017
2015/2016,fra-coupe-de-france-2015-2016
2014/2015,fra-coupe-de-france-2014-2015
2013/2014,fra-coupe-de-france-2013-2014
2012/2013,fra-coupe-de-france-2012-2013
2011/2012,fra-coupe-de-france-2011-2012
2010/2011,fra-coupe-de-france-2010-2011
2009/2010,fra-coupe-de-france-2009-2010
2008/2009,fra-coupe-de-france-2008-2009
2007/2008,fra-coupe-de-france-2007-2008_2
2006/2007,fra-coupe-de-france-2006-2007
2005/2006,fra-coupe-de-france-2005-2006
2004/2005,fra-coupe-de-france-2004-2005
2003/2004,fra-coupe-de-france-2003-2004
2002/2003,fra-coupe-de-france-2002-2003
2001/2002,fra-coupe-de-france-2001-2002
2000/2001,fra-coupe-de-france-2000-2001
1999/2000,fra-coupe-de-france-1999-2000
1998/1999,fra-coupe-de-france-1998-1999
1997/1998,fra-coupe-de-france-1997-1998
1996/1997,fra-coupe-de-france-1996-1997
1995/1996,fra-coupe-de-france-1995-1996
1994/1995,fra-coupe-de-france-1994-1995
1993/1994,fra-coupe-de-france-1993-1994
1992/1993,fra-coupe-de-france-1992-1993
1991/1992,fra-coupe-de-france-1991-1992
1990/1991,fra-coupe-de-france-1990-1991
1989/1990,fra-coupe-de-france-1989-1990
1988/1989,fra-coupe-de-france-1988-1989
1962/1963,fra-coupe-de-france-1962-1963
