season,slug
2024/2025,gib-premier-divison-2024-2025
2023/2024 Championship,gib-premier-divison-2023-2024-championship
2023/2024,gib-premier-divison-2023-2024
2022/2023 Relegation,gib-premier-divison-2022-2023-relegation
2022/2023 Championship,gib-premier-divison-2022-2023-championship
2022/2023,gib-premier-divison-2022-2023
2021/2022 Relegation,gib-premier-divison-2021-2022-relegation
2021/2022 Championship,gib-premier-divison-2021-2022-championship
2021/2022,gib-premier-divison-2021-2022
2020/2021 Relegation,gib-premier-divison-2020-2021-relegation
2020/2021 Championship,gib-premier-divison-2020-2021-championship
2020/2021,gib-premier-divison-2020-2021
2019/2020 Relegation,gib-premier-divison-2019-2020-relegation
2019/2020 Championship,gib-premier-divison-2019-2020-championship
2019/2020,gib-premier-divison-2019-2020
2018/2019,gib-premier-divison-2018-2019
2017/2018,gib-premier-divison-2017-2018
2016/2017,gib-premier-divison-2016-2017
2015/2016,gib-premier-divison-2015-2016
2014/2015,gib-premier-divison-2014-2015
2013/2014,gib-premier-divison-2013-2014
