season,slug
2024/2025,cro-1-hnl-2024-2025
2023/2024,cro-1-hnl-2023-2024
2022/2023,cro-1-hnl-2022-2023
2021/2022,cro-1-hnl-2021-2022
2020/2021,cro-1-hnl-2020-2021
2019/2020,cro-1-hnl-2019-2020
2018/2019,cro-1-hnl-2018-2019
2017/2018,cro-1-hnl-2017-2018
2016/2017,cro-1-hnl-2016-2017
2015/2016,cro-1-hnl-2015-2016
2014/2015,cro-1-hnl-2014-2015
2013/2014,cro-1-hnl-2013-2014
2012/2013,cro-1-hnl-2012-2013
2011/2012,cro-1-hnl-2011-2012
2010/2011,cro-1-hnl-2010-2011
2009/2010,cro-1-hnl-2009-2010
2008/2009,cro-1-hnl-2008-2009
2007/2008,cro-1-hnl-2007-2008
2006/2007,cro-1-hnl-2006-2007
2006 Playoff,cro-1-hnl-2006-playoff
2006 Abstieg,cro-1-hnl-2006-abstieg
2005/2006,cro-1-hnl-2005-2006
2005 Playoff,cro-1-hnl-2005-playoff
2005 Abstieg,cro-1-hnl-2005-abstieg
2004/2005,cro-1-hnl-2004-2005
2004 Playoff,cro-1-hnl-2004-playoff
2004 Abstieg,cro-1-hnl-2004-abstieg
2003/2004,cro-1-hnl-2003-2004
2002/2003 Relegation,cro-1-hnl-2002-2003-relegation
2002/2003 Playoff,cro-1-hnl-2002-2003-playoff
2002/2003,cro-1-hnl-2002-2003
2001/2002,cro-1-hnl-2001-2002
2000/2001 Relegation,cro-1-hnl-2000-2001-relegation
2000/2001 Playoff,cro-1-hnl-2000-2001-playoff
2000/2001,cro-1-hnl-2000-2001
1999/2000,cro-1-hnl-1999-2000
1998/1999 Relegation,cro-1-hnl-1998-1999-relegation
1998/1999 Playoff,cro-1-hnl-1998-1999-playoff
1998/1999,cro-1-hnl-1998-1999
1997/1998 Relegation,cro-1-hnl-1997-1998-relegation
1997/1998 Playoff,cro-1-hnl-1997-1998-playoff
1997/1998,cro-1-hnl-1997-1998
1996/1997,cro-1-hnl-1996-1997
1995/1996 Relegation,cro-1-hnl-1995-1996-relegation
1995/1996 Playoff,cro-1-hnl-1995-1996-playoff
1995/1996,cro-1-hnl-1995-1996
1994/1995,cro-1-hnl-1994-1995
1993/1994,cro-1-hnl-1993-1994
1992/1993,cro-1-hnl-1992-1993
1992,cro-1-hnl-1992
