season,slug
2024 Relegation,isl-urvalsdeild-2024-relegation
2024 Championship,isl-urvalsdeild-2024-championship
2024,isl-urvalsdeild-2024
2023 Relegation,isl-urvalsdeild-2023-relegation
2023 Championship,isl-urvalsdeild-2023-championship
2023,isl-urvalsdeild-2023
2022 Meisterschaft,isl-urvalsdeild-2022-meisterschaft
2022 Abstieg,isl-urvalsdeild-2022-abstieg
2022,isl-urvalsdeild-2022
2021,isl-urvalsdeild-2021
2020,isl-urvalsdeild-2020
2019,isl-urvalsdeild-2019
2018,isl-urvalsdeild-2018
2017,isl-urvalsdeild-2017
2016,isl-urvalsdeild-2016
2015,isl-urvalsdeild-2015
2014,isl-urvalsdeild-2014
2013,isl-urvalsdeild-2013
2012,isl-pepsi-deildin-2012
2011,isl-pepsi-deildin-2011
2010,isl-pepsi-deildin-2010
2009,isl-landsbankadeild-2009
2008,isl-landsbankadeild-2008
2007,isl-landsbankadeild-2007
2006,isl-landsbankadeild-2006
2005,isl-landsbankadeild-2005
2004,isl-landsbankadeild-2004
2003,isl-landsbankadeild-2003
