season,slug
2024,ltu-a-lyga-2024
2023,ltu-a-lyga-2023
2022,ltu-a-lyga-2022
2021,ltu-a-lyga-2021
2020,ltu-a-lyga-2020
2019 Meisterschaft,ltu-a-lyga-2019-meisterschaft
2019,ltu-a-lyga-2019
2018 Meisterschaft,ltu-a-lyga-2018-meisterschaft
2018,ltu-a-lyga-2018
2017 Meisterschaft,ltu-a-lyga-2017-meisterschaft
2017,ltu-a-lyga-2017
2016 Meisterschaft,ltu-a-lyga-2016-meisterschaft
2016,ltu-a-lyga-2016
2015,ltu-a-lyga-2015
2014,ltu-a-lyga-2014
2013,ltu-a-lyga-2013
2012,ltu-a-lyga-2012
2011,ltu-a-lyga-2011
2010,ltu-a-lyga-2010
2009,ltu-a-lyga-2009
2008,ltu-a-lyga-2008
2007,ltu-a-liga-2007
2006,ltu-a-liga-2006
2005,ltu-a-liga-2005
2004,ltu-a-liga-2004
2003,ltu-a-liga-2003
2002,ltu-a-liga-2002
2001,ltu-a-lyga-2001_2
2000,ltu-a-lyga-2000_2
1999,ltu-a-lyga-1999_2
1998/1999,ltu-a-lyga-1998-1999
1997/1998,ltu-a-lyga-1997-1998
1996/1997,ltu-a-lyga-1996-1997
1995/1996 Relegation,ltu-a-lyga-1995-1996-relegation
1995/1996 Championship,ltu-a-lyga-1995-1996-championship
1995/1996,ltu-a-lyga-1995-1996
1994/1995,ltu-a-lyga-1994-1995
1993/1994,ltu-a-lyga-1993-1994
1992/1993 Championship,ltu-a-lyga-1992-1993-championship
1992/1993,ltu-a-lyga-1992-1993
1991/1992,ltu-a-lyga-1991-1992
1991 Championship,ltu-a-lyga-1991-championship
1991,ltu-a-lyga-1991
1990 Championship,ltu-a-lyga-1990-championship
1990,ltu-a-lyga-1990
