season,slug
2024,lat-virsliga-2024
2023,lat-virsliga-2023
2022,lat-virsliga-2022
2021,lat-virsliga-2021
2020,lat-virsliga-2020
2019,lat-virsliga-2019
2018,lat-virsliga-2018
2017,lat-virsliga-2017
2016,lat-virsliga-2016
2015,lat-virsliga-2015
2014,lat-virsliga-2014
2013,lat-virsliga-2013
2012,lat-virsliga-2012
2011,lat-virsliga-2011
2010,lat-virsliga-2010
2009,lat-virsliga-2009
2008 Meisterrunde,lat-virsliga-2008-meisterrunde
2008 Abstiegsrunde,lat-virsliga-2008-abstiegsrunde
2008,lat-virsliga-2008
2007,lat-virsliga-2007
2006,lat-virsliga-2006
2005,lat-virsliga-2005
2004,lat-virsliga-2004
2003,lat-virsliga-2003
2002,lat-virsliga-2002
2001,ltu-a-lyga-2001
2000,ltu-a-lyga-2000
1999,ltu-a-lyga-1999
1998,ltu-a-lyga-1998
1997,ltu-a-lyga-1997
1996 Playoffs,lat-virsliga-1996-playoffs
1996 7-10,lat-virsliga-1996-7-10
1996,ltu-a-lyga-1996
