season,slug
2024/2025,mar-botola-pro-1-2024-2025
2023/2024,mar-botola-pro-1-2023-2024
2022/2023,mar-botola-pro-1-2022-2023
2021/2022,mar-botola-pro-1-2021-2022
2020/2021,mar-botola-pro-1-2020-2021
2019/2020,mar-gnf-1-2019-2020
2018/2019,mar-gnf-1-2018-2019
2017/2018,mar-gnf-1-2017-2018
2016/2017,mar-gnf-1-2016-2017
2015/2016,mar-gnf-1-2015-2016
2014/2015,mar-gnf-1-2014-2015
2013/2014,mar-gnf-1-2013-2014
2012/2013,mar-botola-2012-2013
2011/2012,mar-botola-2011-2012
2010/2011,mar-gnf-1-2010-2011
2009/2010,mar-gnf-1-2009-2010
2008/2009,mar-gnfe1-2008-2009
2007/2008,mar-gnf-i-2007-2008
2006/2007,mar-gnf-i-2006-2007
