season,slug
2024/2025 Phase I,mda-divizia-nationala-2024-2025-phase-i
2023/2024 Phase II,mda-divizia-nationala-2023-2024-phase-ii
2023/2024 Phase I,mda-divizia-nationala-2023-2024-phase-i
2022/2023 Phase II,mda-divizia-nationala-2022-2023-phase-ii
2022/2023 Phase I,mda-divizia-nationala-2022-2023-phase-i
2021/2022,mda-divizia-nationala-2021-2022
2020/2021,mda-divizia-nationala-2020-2021
2019,mda-divizia-nationala-2019
2018,mda-divizia-nationala-2018
2017,mda-divizia-nationala-2017
2016/2017 Entscheidungsspiel,mda-divizia-nationala-2016-2017-entscheidungsspiel
2016/2017,mda-divizia-nationala-2016-2017
2015/2016 Entscheidungsspiel,mda-divizia-nationala-2015-2016-entscheidungsspiel
2015/2016,mda-divizia-nationala-2015-2016
2014/2015,mda-divizia-nationala-2014-2015
2013/2014,mda-divizia-nationala-2013-2014
2012/2013,mda-divizia-nationala-2012-2013
2011/2012,mda-divizia-nationala-2011-2012
2010/2011,mda-divizia-nationala-2010-2011
2009/2010,mda-divizia-nationala-2009-2010
2008/2009,mda-divizia-nationala-2008-2009
2007/2008,mda-divizia-nationala-2007-2008
2006/2007,mda-divizia-nationala-2006-2007
2005/2006,mda-divizia-nationala-2005-2006
2004/2005,mda-divizia-nationala-2004-2005
2003/2004,mda-divizia-nationala-2003-2004
2002/2003,mda-divizia-nationala-2002-2003
2001/2002,mda-divizia-nationala-2001-2002
2000/2001,mda-divizia-nationala-2000-2001
1999/2000,mda-divizia-nationala-1999-2000
1998/1999 Meisterschaft,mda-divizia-nationala-1998-1999-meisterschaft
1998/1999 Abstieg,mda-divizia-nationala-1998-1999-abstieg
1998/1999,mda-divizia-nationala-1998-1999
1997/1998,mda-divizia-nationala-1997-1998
1996/1997,mda-divizia-nationala-1996-1997
1995/1996,mda-divizia-nationala-1995-1996
1994/1995,mda-divizia-nationala-1994-1995
1993/1994,mda-divizia-nationala-1993-1994
1992/1993,mda-divizia-nationala-1992-1993
1992,mda-divizia-nationala-1992
