season,slug
2024/2025,mkd-1-mfl-2024-2025
2023/2024,mkd-1-mfl-2023-2024
2022/2023,mkd-1-mfl-2022-2023
2021/2022,mkd-1-mfl-2021-2022
2020/2021,mkd-1-mfl-2020-2021
2019/2020,mkd-1-mfl-2019-2020
2018/2019,mkd-1-mfl-2018-2019
2017/2018,mkd-1-mfl-2017-2018
2016/2017,mkd-1-mfl-2016-2017
2016 Meisterschaft,mkd-1-mfl-2016-meisterschaft
2016 Abstieg,mkd-1-mfl-2016-abstieg
2015/2016,mkd-1-mfl-2015-2016
2015 Meisterschaft,mkd-1-mfl-2015-meisterschaft
2015 Abstieg,mkd-1-mfl-2015-abstieg
2014/2015,mkd-1-mfl-2014-2015
2013/2014,mkd-1-mfl-2013-2014
2012/2013,mkd-1-mfl-2012-2013
2011/2012,mkd-1-mfl-2011-2012
2010/2011,mkd-1-mfl-2010-2011
2009/2010,mkd-1-division-2009-2010
2008/2009,mkd-1-division-2008-2009
2007/2008,mkd-1-division-2007-2008
2006/2007,mkd-1-division-2006-2007
2005/2006,mkd-1-division-2005-2006
2004/2005,mkd-1-division-2004-2005
2003/2004,mkd-1-division-2003-2004
