season,slug
2024/2025 Opening,mlt-premier-league-2024-2025-opening
2023/2024,mlt-premier-league-2023-2024
2022/2023 ECL Playoff,mlt-premier-league-2022-2023-ecl-playoff
2022/2023,mlt-premier-league-2022-2023
2021/2022 Meisterschaft,mlt-premier-league-2021-2022-meisterschaft
2021/2022 Abstieg,mlt-premier-league-2021-2022-abstieg
2021/2022,mlt-premier-league-2021-2022
2020/2021,mlt-premier-league-2020-2021
2019/2020,mlt-premier-league-2019-2020
2019 Entscheidungsspiel,mlt-premier-league-2019-entscheidungsspiel
2018/2019,mlt-premier-league-2018-2019
2017/2018,mlt-premier-league-2017-2018
2016/2017,mlt-premier-league-2016-2017
2016 Playoff,mlt-premier-league-2016-playoff
2015/2016,mlt-premier-league-2015-2016
2015 Playoff,mlt-premier-league-2015-playoff
2014/2015,mlt-premier-league-2014-2015
2014 Playoff,mlt-premier-league-2014-playoff
2014 Abstieg,mlt-premier-league-2014-abstieg
2013/2014,mlt-premier-league-2013-2014
2013 Playoff,mlt-premier-league-2013-playoff
2013 Finale,mlt-premier-league-2013-finale
2013 Abstieg,mlt-premier-league-2013-abstieg
2012/2013,mlt-premier-league-2012-2013
2012 Playoff,mlt-premier-league-2012-playoff
2012 Abstieg,mlt-premier-league-2012-abstieg
2011/2012,mlt-premier-league-2011-2012
2011 Playoff,mlt-premier-league-2011-playoff
2011 Abstieg,mlt-premier-league-2011-abstieg
2010/2011,mlt-premier-league-2010-2011
2010 Spiel 3. Platz,mlt-premier-league-2010-spiel-3-platz
2010 Playoff,mlt-premier-league-2010-playoff
2010 Abstieg,mlt-premier-league-2010-abstieg
2009/2010,mlt-premier-league-2009-2010
2009 Playoff,mlt-premier-league-2009-playoff
2009 Abstieg,mlt-premier-league-2009-abstieg
2008/2009,mlt-premier-league-2008-2009
2008 Playoff,mlt-mia-premier-league-2008-playoff
2008 Abstieg,mlt-mia-premier-league-2008-abstieg
2007/2008,mlt-mia-premier-league-2007-2008
2007 Playoff,mlt-mia-premier-league-2007-playoff
2007 Abstieg,mlt-mia-premier-league-2007-abstieg
2006/2007,mlt-mia-premier-league-2006-2007
2006 Playoff,mlt-mia-premier-league-2006-playoff
2006 Abstieg,mlt-mia-premier-league-2006-abstieg
2005/2006,mlt-mia-premier-league-2005-2006
2005 Playoff,mlt-mia-premier-league-2005-playoff
2005 Abstieg,mlt-mia-premier-league-2005-abstieg
2004/2005,mlt-mia-premier-league-2004-2005
2004 Playoff,mlt-mia-premier-league-2004-playoff
2004 Abstieg,mlt-mia-premier-league-2004-abstieg
2003/2004,mlt-mia-premier-league-2003-2004
