season,slug
2024 Clausura,par-primera-division-2024-clausura
2024 Apertura,par-primera-division-2024-apertura
2023 Clausura,par-primera-division-2023-clausura
2023 Apertura,par-primera-division-2023-apertura
2022 Clausura,par-primera-division-2022-clausura
2022 Apertura,par-primera-division-2022-apertura
2021 Clausura,par-primera-division-2021-clausura
2021 Apertura,par-primera-division-2021-apertura
2020 Clausura Playoffs,par-primera-division-2020-clausura-playoffs
2020 Clausura,par-primera-division-2020-clausura
2020 Apertura,par-primera-division-2020-apertura
2019 Clausura,par-primera-division-2019-clausura
2019 Apertura,par-primera-division-2019-apertura
2018 Clausura,par-primera-division-2018-clausura
2018 Apertura,par-primera-division-2018-apertura
2017 Clausura,par-primera-division-2017-clausura
2017 Apertura,par-primera-division-2017-apertura
2017 Abstieg,par-primera-division-2017-abstieg
2016 Clausura,par-primera-division-2016-clausura
2016 Apertura,par-primera-division-2016-apertura
2015 Clausura Finale,par-primera-division-2015-clausura-finale
2015 Clausura,par-primera-division-2015-clausura
2015 Apertura,par-primera-division-2015-apertura
2014 Clausura,par-primera-division-2014-clausura
2014 Apertura,par-primera-division-2014-apertura
2013 Clausura,par-primera-division-2013-clausura
2013 Apertura,par-primera-division-2013-apertura
2012 Clausura,par-primera-division-2012-clausura
2012 Apertura,par-primera-division-2012-apertura
2011 Clausura,par-primera-division-2011-clausura
2011 Apertura,par-primera-division-2011-apertura
2010 Clausura,par-primera-division-2010-clausura
2010 Apertura,par-primera-division-2010-apertura
2009 Clausura,par-primera-division-2009-clausura
2009 Apertura,par-primera-division-2009-apertura
2008 Clausura,par-primera-division-2008-clausura
2008 Apertura,par-primera-division-2008-apertura
2007 Jahresfinale,par-primera-division-2007-jahresfinale
2007 Clausura,par-primera-division-2007-clausura
2007 Apertura,par-primera-division-2007-apertura
