season,slug
2024/2025,rou-cupa-romaniei-2024-2025
2023/2024,rou-cupa-romaniei-2023-2024
2022/2023,rou-cupa-romaniei-2022-2023
2021/2022,rou-cupa-romaniei-2021-2022
2020/2021,rou-cupa-romaniei-2020-2021
2019/2020,rou-cupa-romaniei-2019-2020
2018/2019,rou-cupa-romaniei-2018-2019
2017/2018,rou-cupa-romaniei-2017-2018
2016/2017,rou-cupa-romaniei-2016-2017
2015/2016,rom-cupa-romaniei-2015-2016
2014/2015,rom-cupa-romaniei-2014-2015
2013/2014,rom-cupa-romaniei-2013-2014
2012/2013,rom-cupa-romaniei-2012-2013
2011/2012,rom-cupa-romaniei-2011-2012
2010/2011,rom-cupa-romaniei-2010-2011
2009/2010,rom-cupa-romaniei-2009-2010
2008/2009,rom-cupa-romaniei-2008-2009
2007/2008,rom-cupa-romaniei-2007-2008
