season,slug
2024/2025,svn-prvaliga-2024-2025
2023/2024,svn-prvaliga-2023-2024
2022/2023,svn-prvaliga-2022-2023
2021/2022,svn-prvaliga-2021-2022
2020/2021,svn-prvaliga-2020-2021
2019/2020,svn-prvaliga-2019-2020
2018/2019,svn-prvaliga-2018-2019
2017/2018,svn-1-snl-2017-2018
2016/2017,svn-1-snl-2016-2017
2015/2016,svn-1-snl-2015-2016
2014/2015,svn-1-snl-2014-2015
2013/2014,svn-1-snl-2013-2014
2012/2013,svn-prva-liga-2012-2013
2011/2012,svn-prva-liga-2011-2012
2010/2011,svn-prva-liga-2010-2011
2009/2010,svn-prva-liga-2009-2010
2008/2009,svn-prva-liga-2008-2009
2007/2008,svn-prva-liga-2007-2008
2006/2007,svn-prva-liga-2006-2007
2005/2006,svn-prva-liga-2005-2006
2005 Playoff,svn-prva-liga-2005-playoff
2005 Abstieg,svn-prva-liga-2005-abstieg
2004/2005,svn-prva-liga-2004-2005
2004 Playoff,svn-prva-liga-2004-playoff
2004 Abstieg,svn-prva-liga-2004-abstieg
2003/2004,svn-prva-liga-2003-2004
