season,slug
2024/2025,svk-super-liga-2024-2025
2023/2024 Relegation,svk-super-liga-2023-2024-relegation
2023/2024 Championship,svk-super-liga-2023-2024-championship
2023/2024,svk-super-liga-2023-2024
2022/2023 Meisterschaft,svk-super-liga-2022-2023-meisterschaft
2022/2023 ECL Playoffs,svk-super-liga-2022-2023-ecl-playoffs
2022/2023 Abstieg,svk-super-liga-2022-2023-abstieg
2022/2023,svk-super-liga-2022-2023
2021/2022 Meisterschaft,svk-super-liga-2021-2022-meisterschaft
2021/2022 ECL Playoffs,svk-super-liga-2021-2022-ecl-playoffs
2021/2022 Abstieg,svk-super-liga-2021-2022-abstieg
2021/2022,svk-super-liga-2021-2022
2020/2021 Meisterschaft,svk-super-liga-2020-2021-meisterschaft
2020/2021 Conference League Playoff,svk-super-liga-2020-2021-conference-league-playoff
2020/2021 Abstieg,svk-super-liga-2020-2021-abstieg
2020/2021,svk-super-liga-2020-2021
2019/2020 Meisterschaft,svk-super-liga-2019-2020-meisterschaft
2019/2020 Europa League,svk-super-liga-2019-2020-europa-league
2019/2020 Abstieg,svk-super-liga-2019-2020-abstieg
2019/2020,svk-super-liga-2019-2020
2018/2019 Meisterschaft,svk-super-liga-2018-2019-meisterschaft
2018/2019 Abstieg,svk-super-liga-2018-2019-abstieg
2018/2019,svk-super-liga-2018-2019
2017/2018 Meisterrunde,svk-super-liga-2017-2018-meisterrunde
2017/2018 Europa League,svk-super-liga-2017-2018-europa-league
2017/2018 Abstiegsrunde,svk-super-liga-2017-2018-abstiegsrunde
2017/2018,svk-super-liga-2017-2018
2016/2017,svk-super-liga-2016-2017
2015/2016,svk-super-liga-2015-2016
2014/2015,svk-super-liga-2014-2015
2013/2014,svk-super-liga-2013-2014
2012/2013,svk-corgon-liga-2012-2013
2011/2012,svk-corgon-liga-2011-2012
2010/2011,svk-corgon-liga-2010-2011
2009/2010,svk-corgon-liga-2009-2010
2008/2009,svk-corgon-liga-2008-2009
2007/2008,svk-corgon-liga-2007-2008
2006/2007 Meisterrunde,svk-corgon-liga-2006-2007-meisterrunde
2006/2007 Abstieg,svk-corgon-liga-2006-2007-abstieg
2006/2007,svk-corgon-liga-2006-2007
2005/2006,svk-corgon-liga-2005-2006
2004/2005,svk-corgon-liga-2004-2005
2003/2004,svk-corgon-liga-2003-2004
