season,slug
2024/2025,smr-campionato-2024-2025
2023/2024 ECL Playoffs,smr-campionato-2023-2024-ecl-playoffs
2023/2024,smr-campionato-2023-2024
2022/2023 ECL Playoffs,smr-campionato-2022-2023-ecl-playoffs
2022/2023,smr-campionato-2022-2023
2021/2022 Playoffs,smr-campionato-2021-2022-playoffs
2021/2022,smr-campionato-2021-2022
2020/2021 Playoffs,smr-campionato-2020-2021-playoffs
2020/2021,smr-campionato-2020-2021
2019/2020 2. Phase,smr-campionato-2019-2020-2-phase
2019/2020 1. Phase,smr-campionato-2019-2020-1-phase
2018/2019 Playoffs,smr-campionato-2018-2019-playoffs
2018/2019 2. Phase,smr-campionato-2018-2019-2-phase
2018/2019 1. Phase,smr-campionato-2018-2019-1-phase
2018 Playoff,smr-campionato-2018-playoff
2017/2018,smr-campionato-2017-2018
2017 Playoff,smr-campionato-2017-playoff
2016/2017,smr-campionato-2016-2017
2016 Playoff,smr-campionato-2016-playoff
2015/2016,smr-campionato-2015-2016
2015 Playoff,smr-campionato-2015-playoff
2014/2015,smr-campionato-2014-2015
2014 Playoff,smr-campionato-2014-playoff_2
2013/2014,smr-campionato-2013-2014
2013 Playoff,smr-campionato-2013-playoff
2012/2013,smr-campionato-2012-2013
2012 Playoff,smr-campionato-2012-playoff
2011/2012,smr-campionato-2011-2012
2011 Playoff,smr-campionato-2011-playoff
2010/2011,smr-campionato-2010-2011
2010 Playoff,smr-campionato-2010-playoff
2009/2010,smr-campionato-2009-2010
2009 Playoff,smr-campionato-2009-playoff
2008/2009,smr-campionato-2008-2009
2008 Playoff,smr-campionato-2008-playoff
2007/2008,smr-campionato-2007-2008
2007 Playoff,smr-campionato-2007-playoff
2006/2007,smr-campionato-2006-2007
2006 Playoff,smr-campionato-2006-playoff
2005/2006,smr-campionato-2005-2006
2005 Playoff,smr-campionato-2005-playoff
2004/2005,smr-campionato-2004-2005
2004 Playoff,smr-campionato-2004-playoff
2003/2004,smr-campionato-2003-2004
