season,slug
2024/2025,tur-1-lig-2024-2025
2023/2024 Playoffs,tur-1-lig-2023-2024-playoffs_2
2023/2024,tur-1-lig-2023-2024
2022/2023 Playoffs,tur-1-lig-2022-2023-playoffs
2022/2023,tur-1-lig-2022-2023
2021/2022 Playoffs,tur-1-lig-2021-2022-playoffs
2021/2022,tur-1-lig-2021-2022
2020/2021 Playoffs,tur-1-lig-2020-2021-playoffs
2020/2021,tur-1-lig-2020-2021
2019/2020 Playoffs,tur-1-lig-2019-2020-playoffs
2019/2020,tur-1-lig-2019-2020
2018/2019 Playoffs,tur-1-lig-2018-2019-playoffs
2018/2019,tur-1-lig-2018-2019
2017/2018 Playoffs,tur-1-lig-2017-2018-playoffs
2017/2018,tur-1-lig-2017-2018
2016/2017 Playoffs,tur-1-lig-2016-2017-playoffs
2016/2017,tur-1-lig-2016-2017
2015/2016 Playoffs,tur-1-lig-2015-2016-playoffs
2015/2016,tur-1-lig-2015-2016
2014/2015 Playoffs,tur-1-lig-2014-2015-playoffs
2014/2015,tur-1-lig-2014-2015
2013/2014 Playoffs,tur-1-lig-2013-2014-playoffs
2013/2014,tur-1-lig-2013-2014
2012/2013 Playoffs,tur-1-lig-2012-2013-playoffs
2012/2013,tur-1-lig-2012-2013
2011/2012 Playoffs,tur-1-lig-2011-2012-playoffs
2011/2012,tur-1-lig-2011-2012
2010/2011 Playoffs,tur-1-lig-2010-2011-playoffs
2010/2011,tur-1-lig-2010-2011
2009/2010 Playoffs,tur-1-lig-2009-2010-playoffs
2009/2010,tur-1-lig-2009-2010
2008/2009 Playoffs,tur-1-lig-2008-2009-playoffs
2008/2009,tur-lig-a-2008-2009
2007/2008 Playoffs,tur-1-lig-2007-2008-playoffs
2007/2008,tur-lig-a-2007-2008
2006/2007,tur-lig-a-2006-2007
