season,slug
2024 Torneo Competencia,uru-segunda-division-2024-torneo-competencia
2024 Final Competencia,uru-segunda-division-2024-final-competencia
2024 Fase Regular,uru-segunda-division-2024-fase-regular
2023 Torneo Competencia,uru-segunda-division-2023-torneo-competencia
2023 Playoffs,uru-segunda-division-2023-playoffs
2023 Final Competencia,uru-segunda-division-2023-final-competencia
2023 Fase regular,uru-segunda-division-2023-fase-regular
2022 Torneo Competencia,uru-segunda-division-2022-torneo-competencia
2022 Playoffs,uru-segunda-division-2022-playoffs
2022 Final Competencia,uru-segunda-division-2022-final-competencia
2022 Fase regular,uru-segunda-division-2022-fase-regular
2021 Playoffs,uru-segunda-division-2021-playoffs
2021,uru-segunda-division-2021
2020 Playoffs,uru-segunda-division-2020-playoffs
2020,uru-segunda-division-2020
2019 Playoffs,uru-segunda-division-2019-playoffs
2019,uru-segunda-division-2019
