season,slug
2024 Clausura,ven-primera-division-2024-clausura
2024 Apertura Playoffs,ven-primera-division-2024-apertura-playoffs
2024 Apertura,ven-primera-division-2024-apertura
2023 Final absoluta,ven-primera-division-2023-final-absoluta
2023 Fase final,ven-primera-division-2023-fase-final
2023,ven-primera-division-2023
2022 Finale,ven-primera-division-2022-finale
2022 Copa Sudamericana,ven-primera-division-2022-copa-sudamericana
2022 Copa Libertadores,ven-primera-division-2022-copa-libertadores
2022,ven-primera-division-2022
2021 Meisterschaft,ven-primera-division-2021-meisterschaft
2021 Grupo C,ven-primera-division-2021-grupo-c
2021 Grupo B,ven-primera-division-2021-grupo-b
2021 Grupo A,ven-primera-division-2021-grupo-a
2021 Copa Sud,ven-primera-division-2021-copa-sud
2021 Copa Lib,ven-primera-division-2021-copa-lib
2020 Torneo Original,ven-primera-division-2020-torneo-original
2020 Playoffs,ven-primera-division-2020-playoffs
2020 Grupo B,ven-primera-division-2020-grupo-b
2020 Grupo A,ven-primera-division-2020-grupo-a
2019 Serie Final,ven-primera-division-2019-serie-final
2019 Clausura Playoffs,ven-primera-division-2019-clausura-playoffs
2019 Clausura,ven-primera-division-2019-clausura
2019 Apertura Playoffs,ven-primera-division-2019-apertura-playoffs
2019 Apertura,ven-primera-division-2019-apertura
2018 Serie Final,ven-primera-division-2018-serie-final
2018 Clausura Playoffs,ven-primera-division-2018-clausura-playoffs
2018 Clausura,ven-primera-division-2018-clausura
2018 Apertura Playoffs,ven-primera-division-2018-apertura-playoffs
2018 Apertura,ven-primera-division-2018-apertura
2017 Serie Final,ven-primera-division-2017-serie-final
2017 Clausura Playoffs,ven-primera-division-2017-clausura-playoffs
2017 Clausura,ven-primera-division-2017-clausura
2017 Apertura Playoffs,ven-primera-division-2017-apertura-playoffs
2017 Apertura,ven-primera-division-2017-apertura
2016 Serie Final,ven-primera-division-2016-serie-final
2016 Clausura Playoffs,ven-primera-division-2016-clausura-playoffs
2016 Clausura,ven-primera-division-2016-clausura
2016 Apertura Playoffs,ven-primera-division-2016-apertura-playoffs
2016 Apertura,ven-primera-division-2016-apertura
2015 Torneo de Adecuación,ven-primera-division-2015-torneo-de-adecuacion
2015 Adecuación Playoffs,ven-primera-division-2015-adecuacion-playoffs
2014/2015 Serie Final,ven-primera-division-2014-2015-serie-final
2014/2015 Copa Sud Playoffs,ven-primera-division-2014-2015-copa-sud-playoffs
2014/2015 Clausura,ven-primera-division-2014-2015-clausura
2014/2015 Apertura,ven-primera-division-2014-2015-apertura
2013/2014 Serie Final,ven-primera-division-2013-2014-serie-final
2013/2014 Copa Sud Playoffs,ven-primera-division-2013-2014-copa-sud-playoffs
2013/2014 Clausura,ven-primera-division-2013-2014-clausura
2013/2014 Apertura,ven-primera-division-2013-2014-apertura
2012/2013 Serie Final,ven-primera-division-2012-2013-serie-final
2012/2013 Copa Sud Playoffs,ven-primera-division-2012-2013-copa-sud-playoffs
2012/2013 Clausura,ven-primera-division-2012-2013-clausura
2012/2013 Apertura,ven-primera-division-2012-2013-apertura
2011/2012 Copa Sud Playoffs,ven-primera-division-2011-2012-copa-sud-playoffs
2011/2012 Clausura,ven-primera-division-2011-2012-clausura
2011/2012 Apertura,ven-primera-division-2011-2012-apertura
2010/2011 Serie Final,ven-primera-division-2010-2011-serie-final
2010/2011 Copa Sud Playoffs,ven-primera-division-2010-2011-copa-sud-playoffs
2010/2011 Clausura,ven-primera-division-2010-2011-clausura
2010/2011 Apertura,ven-primera-division-2010-2011-apertura
2009/2010 Serie Final,ven-primera-division-2009-2010-serie-final
2009/2010 Clausura,ven-primera-division-2009-2010-clausura
2009/2010 Apertura,ven-primera-division-2009-2010-apertura
2008/2009 Serie Final,ven-primera-division-2008-2009-serie-final
2008/2009 Clausura,ven-primera-division-2008-2009-clausura
2008/2009 Apertura,ven-primera-division-2008-2009-apertura
2007/2008 Serie Final,ven-primera-division-2007-2008-serie-final
2007/2008 Clausura,ven-primera-division-2007-2008-clausura
2007/2008 Apertura,ven-primera-division-2007-2008-apertura
2006/2007 Serie Final,ven-primera-division-2006-2007-serie-final
2006/2007 Clausura,ven-primera-division-2006-2007-clausura
