season,slug
2024/2025,wal-premier-league-2024-2025
2023/2024 Relegation,wal-premier-league-2023-2024-relegation
2023/2024 ECL Playoffs,wal-premier-league-2023-2024-ecl-playoffs
2023/2024 Championship,wal-premier-league-2023-2024-championship
2023/2024,wal-premier-league-2023-2024
2022/2023 Relegation,wal-premier-league-2022-2023-relegation
2022/2023 ECL Playoffs,wal-premier-league-2022-2023-ecl-playoffs
2022/2023 Championship,wal-premier-league-2022-2023-championship
2022/2023,wal-premier-league-2022-2023
2021/2022 Relegation,wal-premier-league-2021-2022-relegation
2021/2022 Championship,wal-premier-league-2021-2022-championship
2021/2022 Challenge Cup Playoffs,wal-premier-league-2021-2022-challenge-cup-playoffs
2021/2022,wal-premier-league-2021-2022
2021 Relegation,wal-premier-league-2021-relegation
2021 ECL-Playoffs,wal-premier-league-2021-ecl-playoffs
2021 Championship,wal-premier-league-2021-championship
2020/2021,wal-premier-league-2020-2021
2020 Relegation,wal-premier-league-2020-relegation
2020 Championship,wal-premier-league-2020-championship
2019/2020,wal-premier-league-2019-2020
2019 Relegation,wal-premier-league-2019-relegation
2019 EL-Playoffs,wal-premier-league-2019-el-playoffs
2019 Championship,wal-premier-league-2019-championship
2018/2019,wal-premier-league-2018-2019
2018 Relegation,wal-premier-league-2018-relegation
2018 EL-Playoffs,wal-premier-league-2018-el-playoffs
2018 Championship,wal-premier-league-2018-championship
2017/2018,wal-premier-league-2017-2018
2017 Relegation,wal-premier-league-2017-relegation
2017 EL-Playoffs,wal-premier-league-2017-el-playoffs
2017 Championship,wal-premier-league-2017-championship
2016/2017,wal-premier-league-2016-2017
2016 Relegation,wal-premier-league-2016-relegation
2016 EL-Playoffs,wal-premier-league-2016-el-playoffs
2016 Championship,wal-premier-league-2016-championship
2015/2016,wal-premier-league-2015-2016
2015 Relegation,wal-premier-league-2015-relegation
2015 EL-Playoffs,wal-premier-league-2015-el-playoffs
2015 Championship,wal-premier-league-2015-championship
2014/2015,wal-premier-league-2014-2015
2014 Relegation,wal-premier-league-2014-relegation
2014 EL Playoffs,wal-premier-league-2014-el-playoffs
2014 Championship,wal-premier-league-2014-championship
2013/2014,wal-premier-league-2013-2014
2013 Relegation,wal-premier-league-2013-relegation
2013 EL Playoffs,wal-premier-league-2013-el-playoffs
2013 Championship,wal-premier-league-2013-championship
2012/2013,wal-premier-league-2012-2013
2012 Relegation,wal-premier-league-2012-relegation
2012 EL Playoffs,wal-premier-league-2012-el-playoffs
2012 Championship,wal-premier-league-2012-championship
2011/2012,wal-premier-league-2011-2012
2011 Relegation,wal-premier-league-2011-relegation
2011 EL Playoffs,wal-premier-league-2011-el-playoffs
2011 Championship,wal-premier-league-2011-championship
2010/2011,wal-premier-league-2010-2011
2009/2010,wal-premier-league-2009-2010
2008/2009,wal-premier-league-2008-2009
2007/2008,wal-premier-league-2007-2008
2006/2007,wal-premier-league-2006-2007
2005/2006,wal-premier-league-2005-2006
2004/2005,wal-premier-league-2004-2005
2003/2004,wal-premier-league-2003-2004
