Round,Date,Time,Team 1,FT,Team 2,Venue,Att
1,Fri Sep 11 2020,18:30,Rapid Wien,4-1,Admira,Allianz Stadion,10000
1,Fri Sep 11 2020,20:30,LASK,1-0,Austria Wien,TGW Arena,6400
1,Sat Sep 12 2020,17:00,SCR Altach,1-1,Hartberg,CASHPOINT Arena,2358
1,Sun Sep 13 2020,14:30,Ried,3-2,WSG Wattens,Josko Arena,2650
1,Sun Sep 13 2020,14:30,St. Pölten,0-0,Sturm Graz,NV Arena,1252
1,Sun Sep 13 2020,17:00,Wolfsberger AC,1-3,RB Salzburg,Lavanttal-Arena,2500
2,Sat Sep 19 2020,17:00,RB Salzburg,4-1,SCR Altach,Red Bull Arena,3000
2,Sat Sep 19 2020,17:00,Sturm Graz,1-1,Rapid Wien,Merkur Arena,2812
2,Sat Sep 19 2020,17:00,WSG Wattens,1-1,LASK,Tivoli Stadion Tirol,1200
2,Sun Sep 20 2020,14:30,Admira,0-5,St. Pölten,BSFZ-Arena,900
2,Sun Sep 20 2020,14:30,Hartberg,0-2,Wolfsberger AC,PROfertil ARENA,1432
2,Sun Sep 20 2020,17:00,Austria Wien,2-1,Ried,Generali Arena,3000
3,Sat Sep 26 2020,17:00,St. Pölten,1-2,Rapid Wien,NV Arena,1563
3,Sat Sep 26 2020,17:00,SCR Altach,0-2,WSG Wattens,CASHPOINT Arena,498
3,Sat Sep 26 2020,17:00,Ried,1-3,RB Salzburg,Josko Arena,2700
3,Sun Sep 27 2020,14:30,Austria Wien,2-2,Admira,Generali Arena,3000
3,Sun Sep 27 2020,14:30,Hartberg,1-1,Sturm Graz,PROfertil ARENA,1902
3,Sun Sep 27 2020,17:00,LASK,3-1,Wolfsberger AC,TGW Arena,3000
4,Sat Oct 3 2020,17:00,Wolfsberger AC,2-4,St. Pölten,Lavanttal-Arena,3000
4,Sat Oct 3 2020,17:00,WSG Wattens,0-2,Austria Wien,Tivoli Stadion Tirol,1170
4,Sat Oct 3 2020,17:00,Admira,3-1,Ried,BSFZ-Arena,1015
4,Sun Oct 4 2020,14:30,RB Salzburg,7-1,Hartberg,Red Bull Arena,3000
4,Sun Oct 4 2020,14:30,Sturm Graz,4-0,SCR Altach,Merkur Arena,3000
4,Sun Oct 4 2020,17:00,Rapid Wien,3-0,LASK,Allianz Stadion,3000
5,Sat Oct 24 2020,17:00,Ried,0-2,Sturm Graz,Josko Arena,1407
5,Sat Oct 24 2020,17:00,Austria Wien,0-2,RB Salzburg,Generali Arena,3000
5,Sat Oct 24 2020,17:00,SCR Altach,4-2,Admira,CASHPOINT Arena,500
5,Sun Oct 25 2020,14:30,LASK,4-0,St. Pölten,TGW Arena,1500
5,Sun Oct 25 2020,14:30,WSG Wattens,1-1,Hartberg,Tivoli Stadion Tirol,1500
5,Sun Oct 25 2020,17:00,Wolfsberger AC,3-4,Rapid Wien,Lavanttal-Arena,1500
6,Sat Oct 31 2020,17:00,RB Salzburg,5-0,WSG Wattens,Red Bull Arena,1500
6,Sat Oct 31 2020,17:00,Hartberg,2-1,Austria Wien,PROfertil ARENA,1100
6,Sat Oct 31 2020,17:00,St. Pölten,4-0,Ried,NV Arena,685
6,Sun Nov 1 2020,14:30,Admira,1-3,Wolfsberger AC,BSFZ-Arena,400
6,Sun Nov 1 2020,14:30,Rapid Wien,3-1,SCR Altach,Allianz Stadion,1500
6,Sun Nov 1 2020,17:00,Sturm Graz,0-2,LASK,Merkur Arena,1500
7,Sat Nov 7 2020,17:00,Ried,2-0,Hartberg,Josko Arena,
7,Sat Nov 7 2020,17:00,SCR Altach,0-0,Austria Wien,CASHPOINT Arena,
7,Sat Nov 7 2020,17:00,St. Pölten,0-1,WSG Wattens,NV Arena,
7,Sun Nov 8 2020,14:30,LASK,4-0,Admira,TGW Arena,
7,Sun Nov 8 2020,17:00,Rapid Wien,1-1,RB Salzburg,Allianz Stadion,
8,Sat Nov 21 2020,17:00,RB Salzburg,1-3,Sturm Graz,Red Bull Arena,
8,Sat Nov 21 2020,17:00,SCR Altach,0-2,Wolfsberger AC,CASHPOINT Arena,
8,Sat Nov 21 2020,17:00,Hartberg,1-1,LASK,PROfertil ARENA,
8,Sun Nov 22 2020,14:30,Austria Wien,1-1,St. Pölten,Generali Arena,
8,Sun Nov 22 2020,14:30,WSG Wattens,3-0,Admira,Tivoli Stadion Tirol,
8,Sun Nov 22 2020,17:00,Ried,4-3,Rapid Wien,Josko Arena,
9,Sat Nov 28 2020,17:00,Admira,2-3,Hartberg,BSFZ-Arena,
9,Sat Nov 28 2020,17:00,Sturm Graz,1-0,WSG Wattens,Merkur Arena,
9,Sat Nov 28 2020,17:00,St. Pölten,2-8,RB Salzburg,NV Arena,
9,Sun Nov 29 2020,14:30,LASK,3-0,SCR Altach,TGW Arena,
9,Sun Nov 29 2020,14:30,Wolfsberger AC,1-1,Ried,Allianz Stadion,
9,Sun Nov 29 2020,17:00,Rapid Wien,1-1,Austria Wien,Lavanttal-Arena,
10,Sat Dec 5 2020,17:00,SCR Altach,0-4,St. Pölten,CASHPOINT Arena,
10,Sat Dec 5 2020,17:00,Admira,1-0,RB Salzburg,BSFZ-Arena,
10,Sat Dec 5 2020,17:00,Austria Wien,0-4,Sturm Graz,Generali Arena,
10,Sun Dec 6 2020,14:30,WSG Wattens,4-1,Wolfsberger AC,Tivoli Stadion Tirol,
10,Sun Dec 6 2020,14:30,Hartberg,1-3,Rapid Wien,PROfertil ARENA,
10,Sun Dec 6 2020,17:00,LASK,3-0,Ried,TGW Arena,
11,Sat Dec 12 2020,17:00,St. Pölten,2-2,Hartberg,NV Arena,
11,Sat Dec 12 2020,17:00,Ried,1-4,SCR Altach,Josko Arena,
11,Sat Dec 12 2020,17:00,Sturm Graz,3-0,Admira,Merkur Arena,
11,Sun Dec 13 2020,14:30,Wolfsberger AC,3-2,Austria Wien,Lavanttal-Arena,
