Round,Date,Time,Team 1,FT,Team 2,Venue,Att,Comments
1,Fri Aug 21 2020,19:00,Bordeaux,0-0,Nantes,Stade Matmut-Atlantique,,
1,Sat Aug 22 2020,17:00,Dijon,0-1,Angers,Stade Gaston Gérard,,
1,Sat Aug 22 2020,21:00,Lille,1-1,Rennes,Stade Pierre-Mauroy,3975,
1,Sun Aug 23 2020,13:00,Monaco,2-2,Reims,Stade Louis II.,,
1,Sun Aug 23 2020,15:00,Lorient,3-1,Strasbourg,Stade Yves Allainmat - Le Moustoir,,
1,Sun Aug 23 2020,15:00,Nîmes,4-0,Brest,Stade des Costières,,
1,Sun Aug 23 2020,17:00,Nice,2-1,Lens,Stade de Nice,,
2,Fri Aug 28 2020,21:00,Lyon,4-1,Dijon,Groupama Stadium,,
2,Sat Aug 29 2020,17:00,Rennes,2-1,Montpellier,Roazhon Park,,
2,Sat Aug 29 2020,21:00,Strasbourg,0-2,Nice,Stade de la Meinau,,
2,Sun Aug 30 2020,13:00,Reims,0-1,Lille,Stade Auguste-Delaune II,,
2,Sun Aug 30 2020,15:00,Angers,0-2,Bordeaux,Stade Raymond Kopa,,
2,Sun Aug 30 2020,15:00,Saint-Étienne,2-0,Lorient,Stade Geoffroy-Guichard,,
2,Sun Aug 30 2020,15:00,Metz,0-1,Monaco,Stade Saint-Symphorien,4463,
2,Sun Aug 30 2020,15:00,Nantes,2-1,Nîmes,Stade de la Beaujoire - Louis Fonteneau,,
2,Sun Aug 30 2020,21:00,Brest,2-3,Marseille,Stade Francis-Le Blé,,
2,Thu Sep 10 2020,21:00,Lens,1-0,Paris S-G,Stade Bollaert-Delelis,,
3,Fri Sep 11 2020,21:00,Bordeaux,0-0,Lyon,Stade Matmut-Atlantique,,
3,Sat Sep 12 2020,17:00,Montpellier,3-1,Nice,Stade de la Mosson,,
3,Sat Sep 12 2020,21:00,Saint-Étienne,2-0,Strasbourg,Stade Geoffroy-Guichard,,
3,Sun Sep 13 2020,13:00,Lille,1-0,Metz,Stade Pierre-Mauroy,,
3,Sun Sep 13 2020,15:00,Dijon,0-2,Brest,Stade Gaston Gérard,,
3,Sun Sep 13 2020,15:00,Nîmes,2-4,Rennes,Stade des Costières,,
3,Sun Sep 13 2020,15:00,Angers,1-0,Reims,Stade Raymond Kopa,,
3,Sun Sep 13 2020,15:00,Lorient,2-3,Lens,Stade Yves Allainmat - Le Moustoir,,
3,Sun Sep 13 2020,17:00,Monaco,2-1,Nantes,Stade Louis II.,,
3,Sun Sep 13 2020,21:00,Paris S-G,0-1,Marseille,Parc des Princes,,
1,Tue Sep 15 2020,21:00,Montpellier,2-1,Lyon,Stade de la Mosson,,
1,Wed Sep 16 2020,21:00,Paris S-G,1-0,Metz,Parc des Princes,,
1,Thu Sep 17 2020,21:00,Marseille,0-2,Saint-Étienne,Orange Vélodrome,,
4,Fri Sep 18 2020,21:00,Lyon,0-0,Nîmes,Groupama Stadium,4385,
4,Sat Sep 19 2020,17:00,Lens,2-1,Bordeaux,Stade Bollaert-Delelis,,
4,Sat Sep 19 2020,21:00,Rennes,2-1,Monaco,Roazhon Park,,
4,Sun Sep 20 2020,13:00,Nice,0-3,Paris S-G,Stade de Nice,,
4,Sun Sep 20 2020,15:00,Montpellier,4-1,Angers,Stade de la Mosson,,
4,Sun Sep 20 2020,15:00,Brest,3-2,Lorient,Stade Francis-Le Blé,,
4,Sun Sep 20 2020,15:00,Metz,2-1,Reims,Stade Saint-Symphorien,,
4,Sun Sep 20 2020,15:00,Strasbourg,1-0,Dijon,Stade de la Meinau,,
4,Sun Sep 20 2020,17:00,Nantes,2-2,Saint-Étienne,Stade de la Beaujoire - Louis Fonteneau,,
4,Sun Sep 20 2020,21:00,Marseille,1-1,Lille,Orange Vélodrome,,
5,Fri Sep 25 2020,21:00,Lille,2-0,Nantes,Stade Pierre-Mauroy,,
5,Sat Sep 26 2020,17:00,Saint-Étienne,0-3,Rennes,Stade Geoffroy-Guichard,,
5,Sat Sep 26 2020,21:00,Marseille,1-1,Metz,Orange Vélodrome,,
5,Sun Sep 27 2020,13:00,Bordeaux,0-0,Nice,Stade Matmut-Atlantique,,
5,Sun Sep 27 2020,15:00,Angers,3-2,Brest,Stade Raymond Kopa,,
5,Sun Sep 27 2020,15:00,Nîmes,1-1,Lens,Stade des Costières,,
5,Sun Sep 27 2020,15:00,Monaco,3-2,Strasbourg,Stade Louis II.,,
5,Sun Sep 27 2020,15:00,Dijon,2-2,Montpellier,Stade Gaston Gérard,,
5,Sun Sep 27 2020,17:00,Lorient,1-1,Lyon,Stade Yves Allainmat - Le Moustoir,,
5,Sun Sep 27 2020,21:00,Reims,0-2,Paris S-G,Stade Auguste-Delaune II,,
6,Fri Oct 2 2020,21:00,Paris S-G,6-1,Angers,Parc des Princes,,
6,Sat Oct 3 2020,17:00,Lens,2-0,Saint-Étienne,Stade Bollaert-Delelis,,
6,Sat Oct 3 2020,21:00,Nice,2-1,Nantes,Stade de Nice,,
6,Sun Oct 4 2020,13:00,Montpellier,0-1,Nîmes,Stade de la Mosson,,
6,Sun Oct 4 2020,15:00,Strasbourg,0-3,Lille,Stade de la Meinau,,
6,Sun Oct 4 2020,15:00,Bordeaux,3-0,Dijon,Stade Matmut-Atlantique,,
6,Sun Oct 4 2020,15:00,Brest,1-0,Monaco,Stade Francis-Le Blé,,
6,Sun Oct 4 2020,15:00,Metz,3-1,Lorient,Stade Saint-Symphorien,,
6,Sun Oct 4 2020,17:00,Rennes,2-2,Reims,Roazhon Park,,
6,Sun Oct 4 2020,21:00,Lyon,1-1,Marseille,Groupama Stadium,,
7,Fri Oct 16 2020,19:00,Dijon,1-1,Rennes,Stade Gaston Gérard,,
7,Fri Oct 16 2020,21:00,Nîmes,0-4,Paris S-G,Stade des Costières,,
7,Sat Oct 17 2020,17:00,Reims,1-3,Lorient,Stade Auguste-Delaune II,,
7,Sat Oct 17 2020,21:00,Marseille,3-1,Bordeaux,Orange Vélodrome,,
7,Sun Oct 18 2020,13:00,Strasbourg,2-3,Lyon,Stade de la Meinau,,
7,Sun Oct 18 2020,15:00,Monaco,1-1,Montpellier,Stade Louis II.,,
7,Sun Oct 18 2020,15:00,Nantes,3-1,Brest,Stade de la Beaujoire - Louis Fonteneau,,
7,Sun Oct 18 2020,15:00,Angers,1-1,Metz,Stade Raymond Kopa,,
7,Sun Oct 18 2020,17:00,Saint-Étienne,1-3,Nice,Stade Geoffroy-Guichard,,
7,Sun Oct 18 2020,21:00,Lille,4-0,Lens,Stade Pierre-Mauroy,,
8,Fri Oct 23 2020,21:00,Rennes,1-2,Angers,Roazhon Park,,
8,Sat Oct 24 2020,17:00,Lorient,0-1,Marseille,Stade Yves Allainmat - Le Moustoir,,
8,Sat Oct 24 2020,21:00,Paris S-G,4-0,Dijon,Parc des Princes,,
8,Sun Oct 25 2020,15:00,Bordeaux,2-0,Nîmes,Stade Matmut-Atlantique,,
8,Sun Oct 25 2020,15:00,Montpellier,0-4,Reims,Stade de la Mosson,,
8,Sun Oct 25 2020,15:00,Brest,0-3,Strasbourg,Stade Francis-Le Blé,,
8,Sun Oct 25 2020,15:00,Metz,2-0,Saint-Étienne,Stade Saint-Symphorien,5000,
8,Sun Oct 25 2020,17:00,Nice,1-1,Lille,Stade de Nice,,
8,Sun Oct 25 2020,21:00,Lyon,4-1,Monaco,Groupama Stadium,,
9,Sat Oct 31 2020,17:00,Rennes,2-1,Brest,Roazhon Park,,
9,Sat Oct 31 2020,21:00,Nantes,0-3,Paris S-G,Stade de la Beaujoire - Louis Fonteneau,,
9,Sun Nov 1 2020,13:00,Saint-Étienne,0-1,Montpellier,Stade Geoffroy-Guichard,,
9,Sun Nov 1 2020,15:00,Reims,2-1,Strasbourg,Stade Auguste-Delaune II,,
9,Sun Nov 1 2020,15:00,Nîmes,0-1,Metz,Stade des Costières,,
9,Sun Nov 1 2020,15:00,Dijon,0-0,Lorient,Stade Gaston Gérard,,
9,Sun Nov 1 2020,15:00,Angers,0-3,Nice,Stade Raymond Kopa,,
9,Sun Nov 1 2020,17:00,Monaco,4-0,Bordeaux,Stade Louis II.,,
9,Sun Nov 1 2020,21:00,Lille,1-1,Lyon,Stade Pierre-Mauroy,,
10,Fri Nov 6 2020,21:00,Strasbourg,0-1,Marseille,Stade de la Meinau,,
10,Sat Nov 7 2020,17:00,Bordeaux,0-2,Montpellier,Stade Matmut-Atlantique,,
10,Sat Nov 7 2020,21:00,Paris S-G,3-0,Rennes,Parc des Princes,,
10,Sun Nov 8 2020,13:00,Brest,3-2,Lille,Stade Francis-Le Blé,,
10,Sun Nov 8 2020,15:00,Nîmes,1-5,Angers,Stade des Costières,,
10,Sun Nov 8 2020,15:00,Lens,4-4,Reims,Stade Bollaert-Delelis,,
10,Sun Nov 8 2020,15:00,Lorient,0-2,Nantes,Stade Yves Allainmat - Le Moustoir,,
10,Sun Nov 8 2020,15:00,Metz,1-1,Dijon,Stade Saint-Symphorien,,
10,Sun Nov 8 2020,17:00,Nice,1-2,Monaco,Stade de Nice,,
10,Sun Nov 8 2020,21:00,Lyon,2-1,Saint-Étienne,Groupama Stadium,,
11,Fri Nov 20 2020,19:00,Rennes,0-1,Bordeaux,Roazhon Park,,
11,Fri Nov 20 2020,21:00,Monaco,3-2,Paris S-G,Stade Louis II.,,
11,Sat Nov 21 2020,17:00,Brest,4-1,Saint-Étienne,Stade Francis-Le Blé,,
11,Sat Nov 21 2020,21:00,Marseille,,Nice,Orange Vélodrome,,Match Postponed
11,Sun Nov 22 2020,13:00,Nantes,1-1,Metz,Stade de la Beaujoire - Louis Fonteneau,,
11,Sun Nov 22 2020,15:00,Reims,0-1,Nîmes,Stade Auguste-Delaune II,,
11,Sun Nov 22 2020,15:00,Dijon,0-1,Lens,Stade Gaston Gérard,,
11,Sun Nov 22 2020,15:00,Montpellier,4-3,Strasbourg,Stade de la Mosson,,
