Round,Date,Time,Team 1,FT,HT,Team 2,ET,P
1. Runde,Fri Aug 28 2020,18:00,Wolfsberger AC,2-2,1-0,SC Neusiedl/See 1919,5-2,
1. Runde,Fri Aug 28 2020,19:00,WSC Hertha,0-3,0-2,FC Admira Wacker,,
1. Runde,Fri Aug 28 2020,19:00,SK Austria Klagenfurt,7-1,2-0,ATSV Stadl-Paura,,
1. Runde,Fri Aug 28 2020,19:00,SV Grödig,1-2,0-1,SKU Amstetten,,
1. Runde,Fri Aug 28 2020,19:00,SK Treibach,1-2,0-2,SV Horn,,
1. Runde,Fri Aug 28 2020,19:00,FC Gleisdorf 09,1-1,0-1,SV Ried,1-1,3-5
1. Runde,Fri Aug 28 2020,19:00,First Vienna FC,4-0,2-0,FC Mannsdorf/Großenzersdorf,,
1. Runde,Fri Aug 28 2020,19:00,SV Wörgl,4-2,2-2,Union Vöcklamarkt,,
1. Runde,Fri Aug 28 2020,19:30,Kapfenberger SV,5-1,5-1,USK Maximarkt Anif,,
1. Runde,Fri Aug 28 2020,20:30,Sturm Graz,8-0,5-0,SV Innsbruck,,
1. Runde,Sat Aug 29 2020,17:00,ATSV Wolfsberg,1-3,0-2,SKN St. Pölten,,
1. Runde,Sat Aug 29 2020,17:00,FC Dornbirn,1-3,0-3,USV Allerheiligen,,
1. Runde,Sat Aug 29 2020,17:30,Floridsdorfer AC,3-0,1-0,ASV Draßburg,,
1. Runde,Sat Aug 29 2020,18:00,ASV Schrems,1-3,1-3,FC Wacker Innsbruck,,
1. Runde,Sat Aug 29 2020,18:00,Austria Lustenau,1-2,0-0,SV Stripfing/Weiden,,
1. Runde,Sat Aug 29 2020,18:00,TuS Bad Gleichenberg,0-0,0-0,SV Lafnitz,0-1,
1. Runde,Sat Aug 29 2020,19:00,WSG Tirol,3-1,0-1,USV St. Anna,,
1. Runde,Sat Aug 29 2020,20:30,ASV Siegendorf,0-3,0-0,LASK,,
1. Runde,Sun Aug 30 2020,11:00,Dornbirner SV,0-7,0-3,TSV Hartberg,,
1. Runde,Sun Aug 30 2020,11:15,Austria Wien,5-0,1-0,SC Retz,,
1. Runde,Sun Aug 30 2020,17:30,Rapid Wien,5-0,2-0,TSV St. Johann,,
1. Runde,Sun Aug 30 2020,18:00,Grazer AK,0-1,0-1,SV Seekirchen,,
1. Runde,Sun Aug 30 2020,19:00,FC Blau Weiß Linz,5-1,3-0,SC Team Wiener Linien,,
1. Runde,Tue Sep 8 2020,19:00,FC Deutschkreutz,0-3,0-0,1. Wiener Neustädter SC,,
1. Runde,Wed Sep 9 2020,19:30,Wiener Sport-Club,5-0,2-0,SV St. Jakob/Rosental,,
1. Runde,Wed Sep 9 2020,20:00,Vorwärts Steyr,1-0,1-0,ASK-BSC Bruck/Leitha,,
1. Runde,Wed Sep 9 2020,20:25,Schwarz-Weiß Bregenz,0-10,0-8,RB Salzburg,,
1. Runde,Sat Sep 12 2020,16:00,SV Wallern,0-1,0-0,SVG Reichenau,,
1. Runde,Wed Sep 16 2020,19:00,Union Gurten,1-3,0-0,SCR Altach,,
1. Runde,Tue Sep 22 2020,19:30,SC Weiz,0-1,0-1,AS Koma Elektra,,
1. Runde,Wed Sep 30 2020,19:00,SC Schwaz,1-3,1-3,VfB Hohenems,,
2. Runde,Fri Oct 16 2020,18:00,FC Admira Wacker,,,Kapfenberger SV,,
2. Runde,Fri Oct 16 2020,18:30,WSG Tirol,,,Floridsdorfer AC,,
2. Runde,Fri Oct 16 2020,19:00,USV Allerheiligen,,,SKU Amstetten,,
2. Runde,Fri Oct 16 2020,19:00,SV Lafnitz,,,SK Austria Klagenfurt,,
2. Runde,Fri Oct 16 2020,19:30,SV Horn,,,AS Koma Elektra,,
2. Runde,Fri Oct 16 2020,20:25,Wiener Sport-Club,,,Austria Wien,,
2. Runde,Sat Oct 17 2020,14:45,SKN St. Pölten,,,RB Salzburg,,
2. Runde,Sat Oct 17 2020,15:00,ASKÖ Gmünd,,,TSV Hartberg,,
2. Runde,Sat Oct 17 2020,15:00,Sturm Graz,,,VfB Hohenems,,
2. Runde,Sat Oct 17 2020,15:30,SVG Reichenau,,,FC Blau Weiß Linz,,
2. Runde,Sat Oct 17 2020,17:00,FC Wacker Innsbruck,,,SV Stripfing/Weiden,,
2. Runde,Sat Oct 17 2020,17:00,SCR Altach,,,SV Seekirchen,,
2. Runde,Sat Oct 17 2020,17:00,1. Wiener Neustädter SC,,,Rapid Wien,,
2. Runde,Sat Oct 17 2020,17:00,LASK,,,SV Wörgl,,
2. Runde,Sat Oct 17 2020,20:25,First Vienna FC,,,Vorwärts Steyr,,
2. Runde,Sun Oct 18 2020,17:15,Wolfsberger AC,,,SV Ried,,
