Round,Date,Time,Team 1,FT,Team 2
1,Sat Aug 22 2020,20:00,AC Ajaccio,,LB Châteauroux
1,Sat Aug 22 2020,20:00,AJ Auxerre,,FC Sochaux
1,Sat Aug 22 2020,20:00,Clermont Foot,,SM Caen
1,Sat Aug 22 2020,20:00,EA Guingamp,,Chamois Niortais
1,Sat Aug 22 2020,20:00,ESTAC Troyes,,Le Havre AC
1,Sat Aug 22 2020,20:00,FC Chambly,,Paris FC
1,Sat Aug 22 2020,20:00,Toulouse FC,,USL Dunkerque
1,Sat Aug 22 2020,20:00,Valenciennes FC,,Pau FC
1,Sat Aug 22 2020,20:00,Rodez AF,,Grenoble Foot 38
1,Sat Aug 22 2020,20:00,Amiens SC,,AS Nancy
2,Sat Aug 29 2020,20:00,Le Havre AC,,Amiens SC
2,Sat Aug 29 2020,20:00,AS Nancy,,EA Guingamp
2,Sat Aug 29 2020,20:00,Chamois Niortais,,FC Chambly
2,Sat Aug 29 2020,20:00,Paris FC,,Valenciennes FC
2,Sat Aug 29 2020,20:00,Pau FC,,Rodez AF
2,Sat Aug 29 2020,20:00,FC Sochaux,,ESTAC Troyes
2,Sat Aug 29 2020,20:00,Grenoble Foot 38,,Toulouse FC
2,Sat Aug 29 2020,20:00,LB Châteauroux,,AJ Auxerre
2,Sat Aug 29 2020,20:00,SM Caen,,AC Ajaccio
2,Sat Aug 29 2020,20:00,USL Dunkerque,,Clermont Foot
3,Sat Sep 12 2020,20:00,AC Ajaccio,,USL Dunkerque
3,Sat Sep 12 2020,20:00,AJ Auxerre,,Clermont Foot
3,Sat Sep 12 2020,20:00,EA Guingamp,,Le Havre AC
3,Sat Sep 12 2020,20:00,ESTAC Troyes,,Pau FC
3,Sat Sep 12 2020,20:00,FC Chambly,,Grenoble Foot 38
3,Sat Sep 12 2020,20:00,Chamois Niortais,,AS Nancy
3,Sat Sep 12 2020,20:00,Toulouse FC,,FC Sochaux
3,Sat Sep 12 2020,20:00,Valenciennes FC,,LB Châteauroux
3,Sat Sep 12 2020,20:00,Rodez AF,,SM Caen
3,Sat Sep 12 2020,20:00,Amiens SC,,Paris FC
4,Sat Sep 19 2020,20:00,Le Havre AC,,Chamois Niortais
4,Sat Sep 19 2020,20:00,AJ Auxerre,,ESTAC Troyes
4,Sat Sep 19 2020,20:00,Clermont Foot,,Toulouse FC
4,Sat Sep 19 2020,20:00,Paris FC,,AS Nancy
4,Sat Sep 19 2020,20:00,Pau FC,,EA Guingamp
4,Sat Sep 19 2020,20:00,FC Sochaux,,Rodez AF
4,Sat Sep 19 2020,20:00,Grenoble Foot 38,,AC Ajaccio
4,Sat Sep 19 2020,20:00,LB Châteauroux,,Amiens SC
4,Sat Sep 19 2020,20:00,SM Caen,,FC Chambly
4,Sat Sep 19 2020,20:00,USL Dunkerque,,Valenciennes FC
5,Sat Sep 26 2020,20:00,AC Ajaccio,,FC Sochaux
5,Sat Sep 26 2020,20:00,AS Nancy,,Le Havre AC
5,Sat Sep 26 2020,20:00,EA Guingamp,,Grenoble Foot 38
5,Sat Sep 26 2020,20:00,ESTAC Troyes,,Clermont Foot
5,Sat Sep 26 2020,20:00,FC Chambly,,LB Châteauroux
5,Sat Sep 26 2020,20:00,Chamois Niortais,,Paris FC
5,Sat Sep 26 2020,20:00,Toulouse FC,,AJ Auxerre
5,Sat Sep 26 2020,20:00,Valenciennes FC,,SM Caen
5,Sat Sep 26 2020,20:00,Rodez AF,,USL Dunkerque
5,Sat Sep 26 2020,20:00,Amiens SC,,Pau FC
6,Sat Oct 3 2020,20:00,AJ Auxerre,,AC Ajaccio
6,Sat Oct 3 2020,20:00,Clermont Foot,,Rodez AF
6,Sat Oct 3 2020,20:00,Paris FC,,Le Havre AC
6,Sat Oct 3 2020,20:00,Pau FC,,AS Nancy
6,Sat Oct 3 2020,20:00,FC Sochaux,,FC Chambly
6,Sat Oct 3 2020,20:00,Toulouse FC,,ESTAC Troyes
6,Sat Oct 3 2020,20:00,Grenoble Foot 38,,Valenciennes FC
6,Sat Oct 3 2020,20:00,LB Châteauroux,,Chamois Niortais
6,Sat Oct 3 2020,20:00,SM Caen,,Amiens SC
6,Sat Oct 3 2020,20:00,USL Dunkerque,,EA Guingamp
7,Sat Oct 17 2020,20:00,AC Ajaccio,,Toulouse FC
7,Sat Oct 17 2020,20:00,Le Havre AC,,LB Châteauroux
7,Sat Oct 17 2020,20:00,AS Nancy,,USL Dunkerque
7,Sat Oct 17 2020,20:00,EA Guingamp,,AJ Auxerre
7,Sat Oct 17 2020,20:00,FC Chambly,,Clermont Foot
7,Sat Oct 17 2020,20:00,Chamois Niortais,,SM Caen
7,Sat Oct 17 2020,20:00,Paris FC,,Pau FC
7,Sat Oct 17 2020,20:00,Valenciennes FC,,FC Sochaux
